subjectid,responseid,block,trial,stimulus,colormap,colorCategorization,vis,centerPerturb,noisePerturb,noisePerturbCount,noiseAmplitude,correct,modelChoice,selectedCanvas,responseTime,generationTime
1558,63112,1,12,12,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,6429,371
1559,63977,2,1,13,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,1,3528,988
1559,63978,2,2,14,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,4806,974
1559,63979,2,3,15,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,2980,984
1559,63980,2,4,16,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,6813,1058
1559,63981,2,5,17,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,3883,950
1559,63982,2,6,18,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,10129,1009
1559,63983,2,7,19,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,6378,1005
1559,63984,2,8,20,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,2,6,8343,1063
1559,63985,2,9,21,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,7619,969
1559,63986,2,10,22,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,8647,1148
1559,63987,2,11,23,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,0,0,6,7327,979
1559,63988,2,12,24,cubehelix_15,435.233,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,4736,1086
1559,63989,3,1,25,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,2175,1014
1559,63990,3,2,26,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,4256,959
1559,63991,3,3,27,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,2,7195,941
1559,63992,3,4,28,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,3838,972
1559,63993,3,5,29,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,4,6392,934
1559,63994,3,6,30,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,3280,995
1559,63995,3,7,31,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,4,7093,981
1559,63996,3,8,32,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,1,2384,994
1559,63997,3,9,33,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,1,1,6,2166,934
1559,63998,3,10,34,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,2279,1024
1559,63999,3,11,35,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,5,3442,1043
1559,64000,3,12,36,cubehelix_25,629.557,fieldSmooth,0.098716,1.9,1,1.2,0,0,1,8343,973
1559,63965,1,1,1,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,6,31498,1070
1559,63966,1,2,2,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,92457,1011
1559,63967,1,3,3,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,1,1,3,7138,976
1559,63968,1,4,4,cubehelix_05,253.356,fieldSmooth,0.098716,1.9,1,1.2,0,0,3,18180,936
