participantId,trialId,frequencyId,targetSSIM,actualSSIM,actualMagnitude,repetition,colormapId,colormapHue,colormapChromaPattern,colormapLumaPattern,targetPosition,selectedPosition,isCorrect,reactionTimeMs,timestamp,correct,reactionTime,ciede2000_discriminative,contrast_sensitivity,hue_discriminative,luminance_variation,chromatic_variation,LAB_Length,color_name_variation,categorization,log_categorization,logLAB_Length,log_hue_discriminative,log_luminance_variation,log_chromatic_variation,log_color_name_variation
6992cbc78e1063a80a315c40,23,medium,0.982,0.9812969066461806,0.375,1,24,200,constant,diverging,0,0,1,6286,2026-02-22T07:10:49.242Z,1,6286,29.78747331926162,192.378677575689,212.46600658581664,139.56048181186952,55.72174602179051,155.8539146732451,2.636290500537747,79.96462186352115,4.394012292144876,5.05531489239502,5.359252559359679,4.945637871675112,4.038157664926922,0.9731588482294592
6992cbc78e1063a80a315c40,31,medium,0.982,0.9812223774751022,0.15625,1,31,200,thermal,thermal,0,0,1,23378,2026-02-22T07:11:12.646Z,1,23378,33.59256209801489,175.98990997552306,205.93890727342225,143.2085754069357,202.75886803459767,291.892463758398,3.3092244182458512,142.79915212417666,4.968417549053824,5.679805523760091,5.328065021215171,4.971260691924088,5.316937275270011,1.19973114667548
6992cbc78e1063a80a315c40,21,medium,0.982,0.9818493888957704,0.40625,1,11,100,thermal,diverging,1,1,1,3318,2026-02-22T07:11:15.994Z,1,3318,25.086982096986876,169.24002113782078,115.39717114234278,99.80060560466202,238.37287642880312,271.98277808149055,3.25932546226008,93.38257237446255,4.547356441430765,5.6094087092445,4.749246037387819,4.613144363601979,5.478022488579855,1.1845836829759717
6992cbc78e1063a80a315c40,9002,medium,0.8,0.8356483726738626,7.5,0,47,300,thermal,thermal,3,3,1,3113,2026-02-22T07:11:19.138Z,1,3113,37.459881391131205,199.8038177415943,300.9348368877921,143.61039971295912,226.50516918094922,360.90480778591524,3.839889267902964,150.70052526257686,5.021908348857239,5.891381215327862,5.707225995220591,4.974043227698388,5.427172959807374,1.348044386302425
6992cbc78e1063a80a315c40,27,medium,0.982,0.9813427362498339,0.15625,1,10,100,diverging,diverging,1,1,1,3202,2026-02-22T07:11:22.362Z,1,3202,24.491865887883883,167.10248159964323,107.51111539623955,101.67893631757951,143.72482376964768,202.65680673437566,2.5292679844339894,82.567618786634,4.425656109968934,5.316436257225407,4.678523945331332,4.631606996751576,4.974834172273172,0.9318758443895268
6992cbc78e1063a80a315c40,35,high,0.956,0.9561840146390392,0.2421875,1,37,300,linear,linear,3,3,1,2802,2026-02-22T07:11:25.190Z,1,2802,35.12135349611994,142.6003843022554,301.97912894312304,32.9038257617787,59.4042428674047,243.55048264367326,4.49199327482781,154.2760391266058,5.045204430592388,5.499421760582574,5.710688999422533,3.523527862348589,4.101059348622709,1.5045202486646354
6992cbc78e1063a80a315c40,12,low,0.954,0.9533294012465556,1.359375,1,28,200,constant,thermal,0,0,1,18433,2026-02-22T07:11:43.652Z,1,18433,28.45463825391801,237.56043068525994,228.59286391491145,278.0729620346011,49.47439651318804,285.44972054292515,4.617950212849031,117.35491425206342,4.773687858140296,5.657563025266487,5.432379897721241,5.631473260301709,3.921466207974638,1.5321140514622056
6992cbc78e1063a80a315c40,28,medium,0.982,0.9813279968579501,0.203125,1,6,100,diverging,linear,0,0,1,10173,2026-02-22T07:11:53.836Z,1,10173,25.022827748922104,141.50964783164235,123.29283971358615,51.94329204035352,143.84537094778585,183.14773886699817,2.0465867408746914,98.58651120536058,4.601026725754073,5.215738364059232,4.815373084776314,3.969221379231918,4.9756667661471345,0.7210476866827137
6992cbc78e1063a80a315c40,42,high,0.956,0.9555297733580869,0.71875,1,45,300,linear,thermal,1,1,1,1920,2026-02-22T07:11:55.762Z,1,1920,37.41351929007537,179.08793207702453,302.48359957850596,115.06543310831299,66.96461177576752,285.0876438911305,4.899081677162415,160.70784252166655,5.085791265850159,5.656298211046294,5.712357601532881,4.754154110593817,4.218987154650946,1.5910868931861089
6992cbc78e1063a80a315c40,46,high,0.956,0.9564447697512156,4,1,20,200,constant,linear,2,2,1,1938,2026-02-22T07:11:57.708Z,1,1938,26.455192697019992,147.72934305793888,235.43537318789427,69.90089109803726,48.76372299600452,98.64980317428015,1.7274467738437655,102.8819047974691,4.643254723144236,4.601662071486558,5.4618611067963965,4.261283001837623,3.907286264683656,0.5524166642286031
6992cbc78e1063a80a315c40,20,medium,0.982,0.9826305397632891,0.1328125,1,21,200,linear,linear,1,1,1,7332,2026-02-22T07:12:05.046Z,1,7332,32.15088610251676,129.22769470621924,201.27712152285235,37.02195701099816,66.98077192483011,180.34406637163812,2.8740948322648503,106.93743709971204,4.681551773159416,5.200396145985676,5.305179376626509,3.638163808933852,4.219224899378995,1.0592111010821124
6992cbc78e1063a80a315c40,43,high,0.956,0.9554812799180256,0.34375,1,44,300,constant,thermal,3,3,1,5622,2026-02-22T07:12:10.674Z,1,5622,30.547508680012825,237.0733830529644,324.86633514028597,278.0903897537597,51.77983737614386,287.0184852418132,5.492894592770048,148.11493539252243,5.004717387059298,5.6630246629435925,5.78372159278079,5.6315357069639935,3.9661292499060483,1.7052742433911823
6992cbc78e1063a80a315c40,17,medium,0.982,0.9817028126336911,0.203125,1,0,100,constant,constant,2,2,1,25534,2026-02-22T07:12:36.214Z,1,25534,19.98469022395962,67.4473472898995,99.88699237790625,19.192668444667945,37.105985006453025,95.73413933263282,1.4490018105579767,58.748398408916984,4.09014238558068,4.571966383924724,4.605040101306509,3.005319590241724,3.6403713565793625,0.3777525104980532
6992cbc78e1063a80a315c40,1,low,0.954,0.9539601044457786,0.333984375,1,40,300,constant,diverging,2,3,0,46665,2026-02-22T07:13:22.886Z,0,46665,36.3352938985642,210.72720542263636,301.24763548074145,139.51199971331982,53.62984030420117,227.28610166859565,3.800856841341524,180.10097156383642,5.199054729667006,5.4305996741907245,5.7082645334763065,4.945292892339053,4.000580259178041,1.3378540565945856
6992cbc78e1063a80a315c40,41,high,0.956,0.9557000475853904,0.265625,1,30,200,diverging,thermal,0,0,1,6822,2026-02-22T07:13:29.716Z,1,6822,32.45107970813402,172.0403292364764,200.78171593554202,127.09754127882101,124.49282028965762,252.41014173182296,4.879486011347053,154.75888070900393,5.048309175040461,5.53500928970582,5.302716256905349,4.852792014954403,4.832248548088001,1.5870871878083443
6992cbc78e1063a80a315c40,24,medium,0.982,0.9816986387497689,0.21875,1,5,100,linear,linear,0,0,1,25923,2026-02-22T07:13:55.644Z,1,25923,21.71057890026889,105.25456813700394,123.48085997882784,37.11636626503585,65.69838276139436,117.23620178960367,1.5991730852804729,58.42316569497907,4.084684145205336,4.772684333794932,4.81689567849216,3.6406437506599394,4.200180706171771,0.47572043542570397
